 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
      2/1    0.000    0.000    0.032    0.032 <frozen importlib._bootstrap_external>:844(exec_module)
        2    0.000    0.000    0.009    0.005 <frozen importlib._bootstrap_external>:916(get_code)
        6    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        6    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.005    0.005 bisect.py:1(<module>)
      250    0.010    0.000    0.068    0.000 matmult.py:14(<listcomp>)
        1    3.334    3.334    3.518    3.518 matmult.py:2(<module>)
      250    0.011    0.000    0.072    0.000 matmult.py:9(<listcomp>)
        1    0.000    0.000    0.027    0.027 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
        1    0.000    0.000    0.000    0.000 random.py:117(__init__)
        1    0.000    0.000    0.000    0.000 random.py:126(seed)
        1    0.000    0.000    0.000    0.000 random.py:217(__init_subclass__)
   125250    0.035    0.000    0.046    0.000 random.py:237(_randbelow_with_getrandbits)
   125250    0.050    0.000    0.097    0.000 random.py:290(randrange)
   125250    0.021    0.000    0.118    0.000 random.py:334(randint)
        1    0.000    0.000    0.000    0.000 random.py:778(SystemRandom)
        2    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       36    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.020    0.005    0.020    0.005 {built-in method _imp.create_dynamic}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       36    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       12    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       12    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      3/1    0.000    0.000    3.518    3.518 {built-in method builtins.exec}
       42    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       35    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       34    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
    63009    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      250    0.010    0.000    0.010    0.000 {built-in method builtins.print}
        6    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.009    0.004    0.009    0.004 {built-in method io.open_code}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       10    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        6    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
       30    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd59020a310}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       12    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      750    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
   125250    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       10    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
   158612    0.007    0.000    0.007    0.000 {method 'getrandbits' of '_random.Random' objects}
      100    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      196    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}


Looks like loading the random modle takes most of the time. I don't know how one couls optimize that.
